#wvn cm-1        wvl um           modulation
2857.14449       3.499998         0.0156228009      
2857.34449       3.49975302       0.0156867903      
2857.54449       3.49950807       0.0158614211      
2857.74449       3.49926316       0.0157981005      
2857.94449       3.49901828       0.01573245        
2858.14449       3.49877343       0.0157659961      
2858.34449       3.49852862       0.0158366471      
2858.54449       3.49828384       0.0157136406      
2858.74449       3.4980391        0.0154962744      
2858.94449       3.49779439       0.0157940961      
2859.14449       3.49754972       0.0157826383      
2859.34449       3.49730508       0.0157223286      
2859.54449       3.49706047       0.0154963013      
2859.74449       3.4968159        0.0157831521      
2859.94449       3.49657136       0.0153413486      
2860.14449       3.49632686       0.0153281274      
2860.34449       3.49608239       0.0156068402      
2860.54449       3.49583796       0.0158248086      
2860.74449       3.49559355       0.0153850147      
2860.94449       3.49534919       0.0154160913      
2861.14449       3.49510486       0.0156988132      
2861.34449       3.49486056       0.0155875533      
2861.54449       3.49461629       0.0158118946      
2861.74449       3.49437206       0.0157289093      
2861.94449       3.49412787       0.0157329602      
2862.14449       3.49388371       0.0159211772      
2862.34449       3.49363958       0.0156633543      
2862.54449       3.49339549       0.0156991109      
2862.74449       3.49315143       0.0157160532      
2862.94449       3.4929074        0.0156204305      
2863.14449       3.49266341       0.0158602142      
2863.34449       3.49241945       0.0158456979      
2863.54449       3.49217553       0.0157961583      
2863.74449       3.49193164       0.0158710757      
2863.94449       3.49168779       0.0155706447      
2864.14449       3.49144397       0.0153432659      
2864.34449       3.49120018       0.0158357606      
2864.54449       3.49095643       0.0158508319      
2864.74449       3.49071271       0.0158174545      
2864.94449       3.49046903       0.0156707755      
2865.14449       3.49022537       0.0153781898      
2865.34449       3.48998176       0.015691338       
2865.54449       3.48973818       0.0155113657      
2865.74449       3.48949463       0.0154764704      
2865.94449       3.48925111       0.0156308772      
2866.14449       3.48900763       0.0156860858      
2866.34449       3.48876419       0.0158007751      
2866.54449       3.48852077       0.015795398       
2866.74449       3.48827739       0.0156829423      
2866.94449       3.48803405       0.0157683303      
2867.14449       3.48779074       0.015701762       
2867.34449       3.48754746       0.0154918004      
2867.54449       3.48730422       0.0154260195      
2867.74449       3.48706101       0.0157054736      
2867.94449       3.48681784       0.015475682       
2868.14449       3.4865747        0.0160417951      
2868.34449       3.48633159       0.0157168628      
2868.54449       3.48608851       0.0153893245      
2868.74449       3.48584548       0.0156168269      
2868.94449       3.48560247       0.0157773372      
2869.14449       3.4853595        0.0157624276      
2869.34449       3.48511656       0.0157208864      
2869.54449       3.48487366       0.0158214854      
2869.74449       3.48463079       0.015816676       
2869.94449       3.48438795       0.0157566516      
2870.14449       3.48414515       0.0154866036      
2870.34449       3.48390238       0.0153792514      
2870.54449       3.48365965       0.0154074628      
2870.74449       3.48341694       0.0155880002      
2870.94449       3.48317428       0.0157501948      
2871.14449       3.48293164       0.0157328254      
2871.34449       3.48268905       0.0157038888      
2871.54449       3.48244648       0.0157931908      
2871.74449       3.48220395       0.0157398162      
2871.94449       3.48196145       0.0156200275      
2872.14449       3.48171899       0.0157318907      
2872.34449       3.48147656       0.0157599333      
2872.54449       3.48123416       0.0156305541      
2872.74449       3.4809918        0.0155502922      
2872.94449       3.48074947       0.0155189209      
2873.14449       3.48050717       0.0156877885      
2873.34449       3.48026491       0.0155123668      
2873.54449       3.48002268       0.0157021865      
2873.74449       3.47978049       0.0156446412      
2873.94449       3.47953833       0.0157520944      
2874.14449       3.4792962        0.0157554425      
2874.34449       3.47905411       0.0155631478      
2874.54449       3.47881205       0.0156596528      
2874.74449       3.47857002       0.0153484028      
2874.94449       3.47832803       0.0159067829      
2875.14449       3.47808607       0.0158254839      
2875.34449       3.47784415       0.0155641491      
2875.54449       3.47760225       0.0154662255      
2875.74449       3.4773604        0.0158154539      
2875.94449       3.47711857       0.0157372401      
2876.14449       3.47687678       0.015834392       
2876.34449       3.47663503       0.0155070268      
2876.54449       3.4763933        0.0153663451      
2876.74449       3.47615161       0.0155403117      
2876.94449       3.47590996       0.0155959331      
2877.14449       3.47566834       0.0155765194      
2877.34449       3.47542675       0.0156833286      
2877.54449       3.47518519       0.0157592008      
2877.74449       3.47494367       0.015945166       
2877.94449       3.47470218       0.0156769332      
2878.14449       3.47446073       0.015642191       
2878.34449       3.47421931       0.0157153826      
2878.54449       3.47397792       0.0157413547      
2878.74449       3.47373657       0.0157004401      
2878.94449       3.47349525       0.0156306383      
2879.14449       3.47325396       0.0155711585      
2879.34449       3.47301271       0.0154972202      
2879.54449       3.47277149       0.0154644215      
2879.74449       3.4725303        0.0156475736      
2879.94449       3.47228915       0.0154169512      
2880.14449       3.47204803       0.0153402414      
2880.34449       3.47180694       0.0155448369      
2880.54449       3.47156589       0.015723006       
2880.74449       3.47132487       0.0157338946      
2880.94449       3.47108389       0.0154456435      
2881.14449       3.47084294       0.0157893491      
2881.34449       3.47060202       0.0158581385      
2881.54449       3.47036113       0.01585834        
2881.74449       3.47012028       0.0156976541      
2881.94449       3.46987946       0.0154070096      
2882.14449       3.46963868       0.0158042801      
2882.34449       3.46939793       0.0157060435      
2882.54449       3.46915721       0.0154946086      
2882.74449       3.46891653       0.0152601668      
2882.94449       3.46867587       0.0156316451      
2883.14449       3.46843526       0.0159078249      
2883.34449       3.46819467       0.0157367218      
2883.54449       3.46795412       0.0154010854      
