#Wvn[cm-1]  Maximum_calculated_depth
#Wavenumber (cm-1)  Radius at max. calculated depth (cm)
2857.14449          9666169000
2857.34449          9686169000
2857.54449          9746169000
2857.74449          9716169000
2857.94449          9706169000
2858.14449          9716169000
2858.34449          9736169000
2858.54449          9696169000
2858.74449          9626169000
2858.94449          9726169000
2859.14449          9716169000
2859.34449          9696169000
2859.54449          9636169000
2859.74449          9716169000
2859.94449          9586169000
2860.14449          9576169000
2860.34449          9666169000
2860.54449          9726169000
2860.74449          9606169000
2860.94449          9616169000
2861.14449          9686169000
2861.34449          9656169000
2861.54449          9726169000
2861.74449          9696169000
2861.94449          9696169000
2862.14449          9756169000
2862.34449          9686169000
2862.54449          9686169000
2862.74449          9696169000
2862.94449          9666169000
2863.14449          9736169000
2863.34449          9736169000
2863.54449          9716169000
2863.74449          9746169000
2863.94449          9656169000
2864.14449          9586169000
2864.34449          9726169000
2864.54449          9736169000
2864.74449          9726169000
2864.94449          9686169000
2865.14449          9606169000
2865.34449          9686169000
2865.54449          9626169000
2865.74449          9626169000
2865.94449          9666169000
2866.14449          9686169000
2866.34449          9716169000
2866.54449          9716169000
2866.74449          9686169000
2866.94449          9716169000
2867.14449          9686169000
2867.34449          9626169000
2867.54449          9616169000
2867.74449          9696169000
2867.94449          9636169000
2868.14449          9796169000
2868.34449          9686169000
2868.54449          9606169000
2868.74449          9666169000
2868.94449          9706169000
2869.14449          9706169000
2869.34449          9696169000
2869.54449          9726169000
2869.74449          9726169000
2869.94449          9706169000
2870.14449          9636169000
2870.34449          9596169000
2870.54449          9596169000
2870.74449          9646169000
2870.94449          9706169000
2871.14449          9696169000
2871.34449          9686169000
2871.54449          9726169000
2871.74449          9706169000
2871.94449          9666169000
2872.14449          9706169000
2872.34449          9716169000
2872.54449          9676169000
2872.74449          9646169000
2872.94449          9646169000
2873.14449          9696169000
2873.34449          9636169000
2873.54449          9696169000
2873.74449          9666169000
2873.94449          9706169000
2874.14449          9706169000
2874.34449          9646169000
2874.54449          9676169000
2874.74449          9576169000
2874.94449          9756169000
2875.14449          9726169000
2875.34449          9656169000
2875.54449          9626169000
2875.74449          9726169000
2875.94449          9696169000
2876.14449          9726169000
2876.34449          9626169000
2876.54449          9596169000
2876.74449          9636169000
2876.94449          9656169000
2877.14449          9656169000
2877.34449          9686169000
2877.54449          9716169000
2877.74449          9766169000
2877.94449          9686169000
2878.14449          9666169000
2878.34449          9686169000
2878.54449          9696169000
2878.74449          9686169000
2878.94449          9666169000
2879.14449          9656169000
2879.34449          9636169000
2879.54449          9616169000
2879.74449          9666169000
2879.94449          9606169000
2880.14449          9586169000
2880.34449          9636169000
2880.54449          9696169000
2880.74449          9706169000
2880.94449          9616169000
2881.14449          9716169000
2881.34449          9736169000
2881.54449          9736169000
2881.74449          9676169000
2881.94449          9616169000
2882.14449          9716169000
2882.34449          9696169000
2882.54449          9636169000
2882.74449          9576169000
2882.94449          9676169000
2883.14449          9746169000
2883.34449          9706169000
2883.54449          9596169000
2883.74449          9576169000
2883.94449          9686169000
2884.14449          9596169000
2884.34449          9676169000
2884.54449          9616169000
2884.74449          9566169000
2884.94449          9716169000
2885.14449          9736169000
2885.34449          9596169000
2885.54449          9636169000
2885.74449          9726169000
2885.94449          9716169000
2886.14449          9746169000
2886.34449          9576169000
2886.54449          9716169000
2886.74449          9706169000
2886.94449          9596169000
2887.14449          9716169000
2887.34449          9696169000
2887.54449          9646169000
2887.74449          9636169000
2887.94449          9616169000
2888.14449          9716169000
2888.34449          9726169000
2888.54449          9666169000
2888.74449          9656169000
2888.94449          9656169000
2889.14449          9596169000
2889.34449          9656169000
2889.54449          9686169000
2889.74449          9616169000
2889.94449          9616169000
2890.14449          9786169000
2890.34449          9766169000
2890.54449          9606169000
2890.74449          9696169000
2890.94449          9746169000
2891.14449          9696169000
2891.34449          9746169000
2891.54449          9716169000
2891.74449          9746169000
2891.94449          9726169000
2892.14449          9636169000
2892.34449          9756169000
2892.54449          9736169000
2892.74449          9606169000
2892.94449          9646169000
2893.14449          9776169000
2893.34449          9716169000
2893.54449          9756169000
2893.74449          9576169000
2893.94449          9746169000
2894.14449          9676169000
2894.34449          9646169000
2894.54449          9596169000
2894.74449          9706169000
2894.94449          9696169000
2895.14449          9566169000
2895.34449          9616169000
2895.54449          9616169000
2895.74449          9746169000
2895.94449          9616169000
2896.14449          9686169000
2896.34449          9656169000
2896.54449          9676169000
2896.74449          9696169000
2896.94449          9646169000
2897.14449          9736169000
2897.34449          9646169000
2897.54449          9656169000
2897.74449          9656169000
2897.94449          9656169000
2898.14449          9616169000
2898.34449          9636169000
2898.54449          9696169000
2898.74449          9626169000
2898.94449          9566169000
2899.14449          9686169000
2899.34449          9696169000
2899.54449          9706169000
2899.74449          9706169000
2899.94449          9626169000
2900.14449          9646169000
2900.34449          9666169000
2900.54449          9696169000
2900.74449          9696169000
2900.94449          9636169000
2901.14449          9686169000
2901.34449          9736169000
2901.54449          9746169000
2901.74449          9756169000
2901.94449          9756169000
2902.14449          9656169000
2902.34449          9756169000
2902.54449          9686169000
2902.74449          9726169000
2902.94449          9746169000
2903.14449          9636169000
2903.34449          9646169000
2903.54449          9656169000
2903.74449          9636169000
2903.94449          9616169000
2904.14449          9706169000
2904.34449          9766169000
2904.54449          9776169000
2904.74449          9656169000
2904.94449          9616169000
2905.14449          9616169000
2905.34449          9676169000
2905.54449          9636169000
2905.74449          9756169000
2905.94449          9636169000
2906.14449          9626169000
2906.34449          9666169000
2906.54449          9736169000
2906.74449          9716169000
2906.94449          9676169000
2907.14449          9626169000
2907.34449          9696169000
2907.54449          9686169000
2907.74449          9606169000
2907.94449          9736169000
2908.14449          9746169000
2908.34449          9686169000
2908.54449          9716169000
2908.74449          9746169000
2908.94449          9616169000
2909.14449          9676169000
2909.34449          9726169000
2909.54449          9716169000
2909.74449          9766169000
2909.94449          9736169000
2910.14449          9686169000
2910.34449          9666169000
2910.54449          9706169000
2910.74449          9726169000
2910.94449          9726169000
2911.14449          9616169000
2911.34449          9706169000
2911.54449          9766169000
2911.74449          9696169000
2911.94449          9816169000
2912.14449          9666169000
2912.34449          9656169000
2912.54449          9766169000
2912.74449          9726169000
2912.94449          9656169000
2913.14449          9646169000
2913.34449          9596169000
2913.54449          9626169000
2913.74449          9626169000
2913.94449          9606169000
2914.14449          9626169000
2914.34449          9696169000
2914.54449          9746169000
2914.74449          9606169000
2914.94449          9646169000
2915.14449          9626169000
2915.34449          9676169000
2915.54449          9696169000
2915.74449          9736169000
2915.94449          9746169000
2916.14449          9626169000
2916.34449          9726169000
2916.54449          9776169000
2916.74449          9656169000
2916.94449          9676169000
2917.14449          9756169000
2917.34449          9636169000
2917.54449          9636169000
2917.74449          9656169000
2917.94449          9696169000
2918.14449          9716169000
2918.34449          9576169000
2918.54449          9616169000
2918.74449          9666169000
2918.94449          9726169000
2919.14449          9746169000
2919.34449          9746169000
2919.54449          9656169000
2919.74449          9606169000
2919.94449          9696169000
2920.14449          9746169000
2920.34449          9736169000
2920.54449          9636169000
2920.74449          9596169000
2920.94449          9696169000
2921.14449          9696169000
2921.34449          9696169000
2921.54449          9726169000
2921.74449          9656169000
2921.94449          9666169000
2922.14449          9716169000
2922.34449          9706169000
2922.54449          9626169000
2922.74449          9706169000
2922.94449          9696169000
2923.14449          9726169000
2923.34449          9656169000
2923.54449          9656169000
2923.74449          9626169000
2923.94449          9626169000
2924.14449          9606169000
2924.34449          9736169000
2924.54449          9696169000
2924.74449          9686169000
2924.94449          9716169000
2925.14449          9756169000
2925.34449          9776169000
2925.54449          9756169000
2925.74449          9616169000
2925.94449          9726169000
2926.14449          9716169000
2926.34449          9716169000
2926.54449          9746169000
2926.74449          9716169000
2926.94449          9726169000
2927.14449          9726169000
2927.34449          9726169000
2927.54449          9676169000
2927.74449          9656169000
2927.94449          9756169000
2928.14449          9606169000
2928.34449          9656169000
2928.54449          9726169000
2928.74449          9726169000
2928.94449          9716169000
2929.14449          9646169000
2929.34449          9726169000
2929.54449          9696169000
2929.74449          9596169000
2929.94449          9596169000
2930.14449          9776169000
2930.34449          9686169000
2930.54449          9626169000
2930.74449          9776169000
2930.94449          9576169000
2931.14449          9606169000
2931.34449          9666169000
2931.54449          9636169000
2931.74449          9656169000
2931.94449          9606169000
2932.14449          9696169000
2932.34449          9696169000
2932.54449          9586169000
2932.74449          9776169000
2932.94449          9606169000
2933.14449          9766169000
2933.34449          9826169000
2933.54449          9666169000
2933.74449          9746169000
2933.94449          9756169000
2934.14449          9776169000
2934.34449          9776169000
2934.54449          9666169000
2934.74449          9576169000
2934.94449          9596169000
2935.14449          9606169000
2935.34449          9716169000
2935.54449          9596169000
2935.74449          9676169000
2935.94449          9776169000
2936.14449          9766169000
2936.34449          9636169000
2936.54449          9646169000
2936.74449          9636169000
2936.94449          9736169000
2937.14449          9686169000
2937.34449          9706169000
2937.54449          9726169000
2937.74449          9726169000
2937.94449          9766169000
2938.14449          9706169000
2938.34449          9686169000
2938.54449          9646169000
2938.74449          9676169000
2938.94449          9616169000
2939.14449          9666169000
2939.34449          9686169000
2939.54449          9676169000
2939.74449          9726169000
2939.94449          9656169000
2940.14449          9806169000
2940.34449          9746169000
2940.54449          9736169000
2940.74449          9736169000
2940.94449          9766169000
2941.14449          9746169000
2941.34449          9646169000
2941.54449          9596169000
2941.74449          9726169000
2941.94449          9736169000
2942.14449          9716169000
2942.34449          9676169000
2942.54449          9606169000
2942.74449          9616169000
2942.94449          9666169000
2943.14449          9766169000
2943.34449          9676169000
2943.54449          9646169000
2943.74449          9636169000
2943.94449          9746169000
2944.14449          9766169000
2944.34449          9646169000
2944.54449          9666169000
2944.74449          9746169000
2944.94449          9756169000
2945.14449          9726169000
2945.34449          9586169000
2945.54449          9696169000
2945.74449          9636169000
2945.94449          9646169000
2946.14449          9746169000
2946.34449          9696169000
2946.54449          9666169000
2946.74449          9746169000
2946.94449          9786169000
2947.14449          9746169000
2947.34449          9646169000
2947.54449          9606169000
2947.74449          9746169000
2947.94449          9666169000
2948.14449          9626169000
2948.34449          9626169000
2948.54449          9576169000
2948.74449          9676169000
2948.94449          9746169000
2949.14449          9726169000
2949.34449          9626169000
2949.54449          9636169000
2949.74449          9656169000
2949.94449          9646169000
2950.14449          9716169000
2950.34449          9736169000
2950.54449          9666169000
2950.74449          9616169000
2950.94449          9616169000
2951.14449          9746169000
2951.34449          9736169000
2951.54449          9746169000
2951.74449          9746169000
2951.94449          9636169000
2952.14449          9596169000
2952.34449          9666169000
2952.54449          9686169000
2952.74449          9676169000
2952.94449          9616169000
2953.14449          9716169000
2953.34449          9736169000
2953.54449          9786169000
2953.74449          9716169000
2953.94449          9656169000
2954.14449          9806169000
2954.34449          9796169000
2954.54449          9736169000
2954.74449          9686169000
2954.94449          9696169000
2955.14449          9686169000
2955.34449          9756169000
2955.54449          9706169000
2955.74449          9796169000
2955.94449          9676169000
2956.14449          9596169000
2956.34449          9626169000
2956.54449          9766169000
2956.74449          9616169000
2956.94449          9756169000
2957.14449          9796169000
2957.34449          9676169000
2957.54449          9666169000
2957.74449          9616169000
2957.94449          9596169000
2958.14449          9636169000
2958.34449          9766169000
2958.54449          9776169000
2958.74449          9756169000
2958.94449          9676169000
2959.14449          9616169000
2959.34449          9686169000
2959.54449          9626169000
2959.74449          9606169000
2959.94449          9726169000
2960.14449          9756169000
2960.34449          9786169000
2960.54449          9726169000
2960.74449          9746169000
2960.94449          9696169000
2961.14449          9716169000
2961.34449          9756169000
2961.54449          9756169000
2961.74449          9746169000
2961.94449          9716169000
2962.14449          9606169000
2962.34449          9626169000
2962.54449          9666169000
2962.74449          9636169000
2962.94449          9736169000
2963.14449          9736169000
2963.34449          9676169000
2963.54449          9666169000
2963.74449          9626169000
2963.94449          9666169000
2964.14449          9656169000
2964.34449          9776169000
2964.54449          9796169000
2964.74449          9606169000
2964.94449          9636169000
2965.14449          9756169000
2965.34449          9616169000
2965.54449          9636169000
2965.74449          9616169000
2965.94449          9626169000
2966.14449          9796169000
2966.34449          9626169000
2966.54449          9676169000
2966.74449          9746169000
2966.94449          9736169000
2967.14449          9666169000
2967.34449          9706169000
2967.54449          9756169000
2967.74449          9756169000
2967.94449          9716169000
2968.14449          9706169000
2968.34449          9626169000
2968.54449          9666169000
2968.74449          9616169000
2968.94449          9726169000
2969.14449          9676169000
2969.34449          9666169000
2969.54449          9796169000
2969.74449          9626169000
2969.94449          9576169000
2970.14449          9596169000
2970.34449          9686169000
2970.54449          9746169000
2970.74449          9636169000
2970.94449          9686169000
2971.14449          9636169000
2971.34449          9606169000
2971.54449          9676169000
2971.74449          9746169000
2971.94449          9666169000
2972.14449          9736169000
2972.34449          9716169000
2972.54449          9666169000
2972.74449          9646169000
2972.94449          9666169000
2973.14449          9686169000
2973.34449          9786169000
2973.54449          9626169000
2973.74449          9736169000
2973.94449          9746169000
2974.14449          9666169000
2974.34449          9606169000
2974.54449          9756169000
2974.74449          9776169000
2974.94449          9756169000
2975.14449          9826169000
2975.34449          9796169000
2975.54449          9766169000
2975.74449          9596169000
2975.94449          9606169000
2976.14449          9686169000
2976.34449          9616169000
2976.54449          9636169000
2976.74449          9626169000
2976.94449          9626169000
2977.14449          9656169000
2977.34449          9646169000
2977.54449          9666169000
2977.74449          9786169000
2977.94449          9766169000
2978.14449          9766169000
2978.34449          9706169000
2978.54449          9666169000
2978.74449          9636169000
2978.94449          9756169000
2979.14449          9766169000
2979.34449          9666169000
2979.54449          9656169000
2979.74449          9746169000
2979.94449          9746169000
2980.14449          9626169000
2980.34449          9796169000
2980.54449          9776169000
2980.74449          9766169000
2980.94449          9726169000
2981.14449          9776169000
2981.34449          9806169000
2981.54449          9736169000
2981.74449          9726169000
2981.94449          9646169000
2982.14449          9696169000
2982.34449          9636169000
2982.54449          9756169000
2982.74449          9716169000
2982.94449          9596169000
2983.14449          9726169000
2983.34449          9766169000
2983.54449          9606169000
2983.74449          9676169000
2983.94449          9606169000
2984.14449          9726169000
2984.34449          9716169000
2984.54449          9696169000
2984.74449          9696169000
2984.94449          9616169000
2985.14449          9616169000
2985.34449          9686169000
2985.54449          9646169000
2985.74449          9656169000
2985.94449          9646169000
2986.14449          9616169000
2986.34449          9716169000
2986.54449          9636169000
2986.74449          9646169000
2986.94449          9626169000
2987.14449          9716169000
2987.34449          9736169000
2987.54449          9776169000
2987.74449          9796169000
2987.94449          9616169000
2988.14449          9726169000
2988.34449          9816169000
2988.54449          9666169000
2988.74449          9756169000
2988.94449          9656169000
2989.14449          9716169000
2989.34449          9646169000
2989.54449          9636169000
2989.74449          9796169000
2989.94449          9776169000
2990.14449          9646169000
2990.34449          9626169000
2990.54449          9676169000
2990.74449          9716169000
2990.94449          9736169000
2991.14449          9686169000
2991.34449          9756169000
2991.54449          9656169000
2991.74449          9606169000
2991.94449          9736169000
2992.14449          9756169000
2992.34449          9716169000
2992.54449          9656169000
2992.74449          9796169000
2992.94449          9606169000
2993.14449          9696169000
2993.34449          9676169000
2993.54449          9626169000
2993.74449          9776169000
2993.94449          9766169000
2994.14449          9746169000
2994.34449          9646169000
2994.54449          9826169000
2994.74449          9696169000
2994.94449          9796169000
2995.14449          9636169000
2995.34449          9716169000
2995.54449          9796169000
2995.74449          9746169000
2995.94449          9656169000
2996.14449          9616169000
2996.34449          9706169000
2996.54449          9716169000
2996.74449          9666169000
2996.94449          9616169000
2997.14449          9746169000
2997.34449          9736169000
2997.54449          9646169000
2997.74449          9706169000
2997.94449          9636169000
2998.14449          9746169000
2998.34449          9616169000
2998.54449          9626169000
2998.74449          9656169000
2998.94449          9706169000
2999.14449          9776169000
2999.34449          9766169000
2999.54449          9636169000
2999.74449          9786169000
2999.94449          9706169000
3000.14449          9696169000
3000.34449          9636169000
3000.54449          9666169000
3000.74449          9666169000
3000.94449          9666169000
3001.14449          9616169000
3001.34449          9686169000
3001.54449          9686169000
3001.74449          9616169000
3001.94449          9616169000
3002.14449          9646169000
3002.34449          9686169000
3002.54449          9686169000
3002.74449          9646169000
3002.94449          9646169000
3003.14449          9606169000
3003.34449          9716169000
3003.54449          9756169000
3003.74449          9656169000
3003.94449          9746169000
3004.14449          9646169000
3004.34449          9706169000
3004.54449          9686169000
3004.74449          9826169000
3004.94449          9736169000
3005.14449          9696169000
3005.34449          9736169000
3005.54449          9816169000
3005.74449          9646169000
3005.94449          9656169000
3006.14449          9736169000
3006.34449          9666169000
3006.54449          9716169000
3006.74449          9636169000
3006.94449          9676169000
3007.14449          9656169000
3007.34449          9636169000
3007.54449          9606169000
3007.74449          9606169000
3007.94449          9666169000
3008.14449          9636169000
3008.34449          9776169000
3008.54449          9626169000
3008.74449          9656169000
3008.94449          9596169000
3009.14449          9686169000
3009.34449          9656169000
3009.54449          9656169000
3009.74449          9756169000
3009.94449          9636169000
3010.14449          9686169000
3010.34449          9796169000
3010.54449          9626169000
3010.74449          9676169000
3010.94449          9626169000
3011.14449          9786169000
3011.34449          9756169000
3011.54449          9696169000
3011.74449          9676169000
3011.94449          9726169000
3012.14449          9796169000
3012.34449          9816169000
3012.54449          9816169000
3012.74449          9806169000
3012.94449          9616169000
3013.14449          9706169000
3013.34449          9696169000
3013.54449          9776169000
3013.74449          9746169000
3013.94449          9626169000
3014.14449          9616169000
3014.34449          9636169000
3014.54449          9776169000
3014.74449          9706169000
3014.94449          9616169000
3015.14449          9616169000
3015.34449          9606169000
3015.54449          9646169000
3015.74449          9826169000
3015.94449          9716169000
3016.14449          9656169000
3016.34449          9706169000
3016.54449          9766169000
3016.74449          9766169000
3016.94449          9616169000
3017.14449          9746169000
3017.34449          9646169000
3017.54449          9626169000
3017.74449          9706169000
3017.94449          9666169000
3018.14449          9646169000
3018.34449          9756169000
3018.54449          9686169000
3018.74449          9676169000
3018.94449          9636169000
3019.14449          9726169000
3019.34449          9796169000
3019.54449          9786169000
3019.74449          9656169000
3019.94449          9666169000
3020.14449          9696169000
3020.34449          9676169000
3020.54449          9726169000
3020.74449          9706169000
3020.94449          9616169000
3021.14449          9616169000
3021.34449          9696169000
3021.54449          9616169000
3021.74449          9646169000
3021.94449          9786169000
3022.14449          9786169000
3022.34449          9726169000
3022.54449          9736169000
3022.74449          9776169000
3022.94449          9666169000
3023.14449          9776169000
3023.34449          9776169000
3023.54449          9626169000
3023.74449          9706169000
3023.94449          9796169000
3024.14449          9746169000
3024.34449          9786169000
3024.54449          9646169000
3024.74449          9616169000
3024.94449          9706169000
3025.14449          9626169000
3025.34449          9726169000
3025.54449          9706169000
3025.74449          9746169000
3025.94449          9736169000
3026.14449          9666169000
3026.34449          9676169000
3026.54449          9696169000
3026.74449          9616169000
3026.94449          9736169000
3027.14449          9756169000
3027.34449          9716169000
3027.54449          9606169000
3027.74449          9656169000
3027.94449          9786169000
3028.14449          9626169000
3028.34449          9766169000
3028.54449          9696169000
3028.74449          9626169000
3028.94449          9766169000
3029.14449          9696169000
3029.34449          9636169000
3029.54449          9646169000
3029.74449          9656169000
3029.94449          9736169000
3030.14449          9686169000
3030.34449          9656169000
3030.54449          9636169000
3030.74449          9776169000
3030.94449          9776169000
3031.14449          9626169000
3031.34449          9746169000
3031.54449          9706169000
3031.74449          9796169000
3031.94449          9816169000
3032.14449          9806169000
3032.34449          9766169000
3032.54449          9756169000
3032.74449          9676169000
3032.94449          9666169000
3033.14449          9706169000
3033.34449          9696169000
3033.54449          9746169000
3033.74449          9696169000
3033.94449          9636169000
3034.14449          9626169000
3034.34449          9816169000
3034.54449          9746169000
3034.74449          9726169000
3034.94449          9656169000
3035.14449          9606169000
3035.34449          9666169000
3035.54449          9666169000
3035.74449          9746169000
3035.94449          9756169000
3036.14449          9816169000
3036.34449          9776169000
3036.54449          9716169000
3036.74449          9676169000
3036.94449          9656169000
3037.14449          9766169000
3037.34449          9626169000
3037.54449          9726169000
3037.74449          9726169000
3037.94449          9736169000
3038.14449          9616169000
3038.34449          9646169000
3038.54449          9656169000
3038.74449          9716169000
3038.94449          9706169000
3039.14449          9716169000
3039.34449          9746169000
3039.54449          9746169000
3039.74449          9616169000
3039.94449          9626169000
3040.14449          9616169000
3040.34449          9626169000
3040.54449          9646169000
3040.74449          9656169000
3040.94449          9666169000
3041.14449          9736169000
3041.34449          9746169000
3041.54449          9776169000
3041.74449          9656169000
3041.94449          9796169000
3042.14449          9746169000
3042.34449          9766169000
3042.54449          9726169000
3042.74449          9676169000
3042.94449          9656169000
3043.14449          9706169000
3043.34449          9726169000
3043.54449          9686169000
3043.74449          9686169000
3043.94449          9626169000
3044.14449          9656169000
3044.34449          9686169000
3044.54449          9686169000
3044.74449          9616169000
3044.94449          9646169000
3045.14449          9656169000
3045.34449          9646169000
3045.54449          9606169000
3045.74449          9786169000
3045.94449          9696169000
3046.14449          9636169000
3046.34449          9616169000
3046.54449          9656169000
3046.74449          9696169000
3046.94449          9646169000
3047.14449          9686169000
3047.34449          9796169000
3047.54449          9776169000
3047.74449          9796169000
3047.94449          9656169000
3048.14449          9806169000
3048.34449          9656169000
3048.54449          9616169000
3048.74449          9836169000
3048.94449          9746169000
3049.14449          9776169000
3049.34449          9636169000
3049.54449          9656169000
3049.74449          9666169000
3049.94449          9676169000
3050.14449          9746169000
3050.34449          9616169000
3050.54449          9636169000
3050.74449          9726169000
3050.94449          9666169000
3051.14449          9656169000
3051.34449          9686169000
3051.54449          9656169000
3051.74449          9816169000
3051.94449          9726169000
3052.14449          9756169000
3052.34449          9686169000
3052.54449          9676169000
3052.74449          9686169000
3052.94449          9626169000
3053.14449          9696169000
3053.34449          9686169000
3053.54449          9636169000
