# Demo Filter  3
# Wavelenght (um)   Transmission
  2.38000000        0.00
  2.38276572        0.00
  2.38553466        0.00
  2.38830681        0.00
  2.39108219        0.00
  2.39386079        0.00
  2.39664262        0.00
  2.39942768        0.00
  2.40221598        0.00
  2.40500752        0.00
  2.40780231        0.00
  2.41060034        0.00
  2.41340162        0.00
  2.41620616        0.00
  2.41901396        0.00
  2.42182502        0.00
  2.42463934        0.00
  2.42745694        0.00
  2.43027781        1.00
  2.43310196        1.00
  2.43592939        1.00
  2.43876011        1.00
  2.44159411        1.00
  2.44443141        1.00
  2.44727201        1.00
  2.45011591        1.00
  2.45296311        1.00
  2.45581362        1.00
  2.45866744        1.00
  2.46152458        1.00
  2.46438504        1.00
  2.46724883        1.00
  2.47011594        1.00
  2.47298638        1.00
  2.47586016        1.00
  2.47873728        1.00
  2.48161774        1.00
  2.48450155        1.00
  2.48738872        1.00
  2.49027923        1.00
  2.49317311        1.00
  2.49607034        1.00
  2.49897095        1.00
  2.50187492        1.00
  2.50478227        1.00
  2.50769300        1.00
  2.51060711        1.00
  2.51352461        1.00
  2.51644550        1.00
  2.51936978        1.00
  2.52229746        1.00
  2.52522854        1.00
  2.52816303        1.00
  2.53110093        1.00
  2.53404224        1.00
  2.53698697        1.00
  2.53993513        1.00
  2.54288670        1.00
  2.54584171        1.00
  2.54880016        1.00
  2.55176204        1.00
  2.55472736        1.00
  2.55769613        1.00
  2.56066834        1.00
  2.56364402        1.00
  2.56662315        1.00
  2.56960574        1.00
  2.57259180        1.00
  2.57558132        1.00
  2.57857432        1.00
  2.58157080        1.00
  2.58457077        1.00
  2.58757421        1.00
  2.59058115        1.00
  2.59359159        1.00
  2.59660552        1.00
  2.59962295        1.00
  2.60264389        1.00
  2.60566834        1.00
  2.60869631        1.00
  2.61172779        1.00
  2.61476280        1.00
  2.61780133        1.00
  2.62084339        0.00
  2.62388899        0.00
  2.62693813        0.00
  2.62999081        0.00
  2.63304704        0.00
  2.63610682        0.00
  2.63917016        0.00
  2.64223706        0.00
  2.64530752        0.00
  2.64838155        0.00
  2.65145915        0.00
  2.65454032        0.00
  2.65762508        0.00
  2.66071342        0.00
  2.66380535        0.00
  2.66690088        0.00
  2.67000000        0.00
