# Demo Filter 10
# Wavelenght (um)   Transmission
  3.71000000        0.00
  3.71282151        0.00
  3.71564518        0.00
  3.71847098        0.00
  3.72129894        0.00
  3.72412905        0.00
  3.72696131        0.00
  3.72979572        0.00
  3.73263229        0.00
  3.73547102        0.00
  3.73831191        0.00
  3.74115495        0.00
  3.74400016        0.00
  3.74684754        0.00
  3.74969707        0.00
  3.75254878        0.00
  3.75540265        0.00
  3.75825870        0.00
  3.76111691        1.00
  3.76397730        1.00
  3.76683987        1.00
  3.76970461        1.00
  3.77257153        1.00
  3.77544063        1.00
  3.77831192        1.00
  3.78118539        1.00
  3.78406104        1.00
  3.78693888        1.00
  3.78981891        1.00
  3.79270112        1.00
  3.79558553        1.00
  3.79847214        1.00
  3.80136094        1.00
  3.80425193        1.00
  3.80714513        1.00
  3.81004053        1.00
  3.81293812        1.00
  3.81583792        1.00
  3.81873993        1.00
  3.82164414        1.00
  3.82455057        1.00
  3.82745920        1.00
  3.83037004        1.00
  3.83328310        1.00
  3.83619838        1.00
  3.83911587        1.00
  3.84203558        1.00
  3.84495751        1.00
  3.84788166        1.00
  3.85080803        1.00
  3.85373664        1.00
  3.85666747        1.00
  3.85960052        1.00
  3.86253581        1.00
  3.86547333        1.00
  3.86841309        1.00
  3.87135508        1.00
  3.87429931        1.00
  3.87724577        1.00
  3.88019448        1.00
  3.88314543        1.00
  3.88609863        1.00
  3.88905407        1.00
  3.89201176        1.00
  3.89497169        1.00
  3.89793388        1.00
  3.90089832        1.00
  3.90386502        1.00
  3.90683397        1.00
  3.90980518        1.00
  3.91277865        1.00
  3.91575439        1.00
  3.91873238        1.00
  3.92171264        1.00
  3.92469516        1.00
  3.92767996        1.00
  3.93066702        1.00
  3.93365636        1.00
  3.93664797        1.00
  3.93964185        1.00
  3.94263801        1.00
  3.94563645        1.00
  3.94863717        1.00
  3.95164018        0.00
  3.95464546        0.00
  3.95765303        0.00
  3.96066289        0.00
  3.96367504        0.00
  3.96668948        0.00
  3.96970621        0.00
  3.97272524        0.00
  3.97574656        0.00
  3.97877018        0.00
  3.98179610        0.00
  3.98482432        0.00
  3.98785484        0.00
  3.99088767        0.00
  3.99392280        0.00
  3.99696025        0.00
  4.00000000        0.00
