# MIPS imaging filter bandpasses	
# 24 microns	
# 03/21/2000
# extracted from wget -N http://ssc.spitzer.caltech.edu/mips/MIPSfiltsumm.xls
#
# includes only filter and array QE, not telescope optics
#
#lambda	response
18.005	0
18.068	0
18.131	0
18.194	0
18.258	0
18.323	0
18.388	0
18.453	0
18.519	0
18.586	0
18.652	0
18.720	0
18.788	0
18.856	0
18.925	0
18.994	0
19.064	0
19.134	0
19.205	0
19.277	0
19.348	0
19.421	0
19.494	0
19.567	0
19.642	0
19.716	0
19.792	0.01
19.867	0.01
19.944	0.01
20.021	0.01
20.098	0.02
20.177	0.02
20.255	0.03
20.335	0.05
20.415	0.08
20.496	0.12
20.577	0.18
20.659	0.25
20.742	0.38
20.825	0.53
20.909	0.74
20.993	0.81
21.079	0.86
21.165	0.88
21.252	0.91
21.339	0.93
21.427	0.96
21.516	0.97
21.606	0.98
21.696	0.99
21.787	1
21.879	1
21.972	1
22.065	0.99
22.160	0.97
22.255	0.94
22.351	0.93
22.448	0.9
22.545	0.88
22.644	0.87
22.743	0.86
22.843	0.86
22.944	0.86
23.046	0.85
23.149	0.83
23.253	0.82
23.358	0.8
23.463	0.78
23.570	0.75
23.678	0.75
23.786	0.78
23.896	0.8
24.006	0.84
24.118	0.88
24.231	0.91
24.345	0.93
24.459	0.92
24.575	0.92
24.692	0.9
24.810	0.88
24.930	0.86
25.050	0.83
25.172	0.8
25.295	0.77
25.419	0.74
25.544	0.7
25.670	0.65
25.798	0.6
25.927	0.56
26.057	0.52
26.189	0.49
26.322	0.46
26.456	0.43
26.592	0.41
26.729	0.38
26.867	0.35
27.007	0.33
27.149	0.3
27.292	0.26
27.436	0.23
27.582	0.2
27.729	0.17
27.878	0.15
28.029	0.13
28.181	0.12
28.335	0.11
28.491	0.1
28.649	0.09
28.808	0.08
28.969	0.07
29.131	0.06
29.296	0.05
29.462	0.04
29.631	0.04
29.801	0.03
29.973	0.03
30.148	0.02
30.324	0.02
30.502	0.02
30.683	0.01
30.865	0.01
31.050	0.01
31.237	0.01
31.427	0
31.618	0
31.812	0
32.009	0
32.207	0
