# Old IRAC 1 spectral response file.  

# Extracted from:
# http://irsa.ipac.caltech.edu/data/SPITZER/docs/irac/calibrationfiles/spectralresponse/irac_tr1_2004-08-09.dat

# wavel (um)  response
 2.965        0.000784
 2.967        0.000787
 2.968        0.000880
 2.970        0.000321
 2.972        0.000481
 2.973        0.000274
 2.975        0.000565
 2.977        0.000795
 2.978        0.000871
 2.980        0.000936
 2.982        0.001030
 2.984        0.001017
 2.985        0.000870
 2.987        0.000688
 2.989        0.000624
 2.990        0.000787
 2.992        0.001013
 2.994        0.001099
 2.996        0.001060
 2.997        0.000868
 2.999        0.000469
 3.001        0.000897
 3.003        0.000631
 3.004        0.000165
 3.006        0.000044
 3.008        0.000430
 3.010        0.000460
 3.011        0.000312
 3.013        0.000517
 3.015        0.000246
 3.017        0.000469
 3.018        0.000522
 3.020        0.000474
 3.022        0.000413
 3.024        0.000401
 3.025        0.000475
 3.027        0.000454
 3.029        0.000428
 3.031        0.000534
 3.032        0.000632
 3.034        0.000557
 3.036        0.000355
 3.038        0.000224
 3.040        0.000294
 3.041        0.000336
 3.043        0.000306
 3.045        0.000187
 3.047        0.000517
 3.048        0.000431
 3.050        0.000318
 3.052        0.000246
 3.054        0.000289
 3.056        0.000423
 3.057        0.000531
 3.059        0.000503
 3.061        0.000327
 3.063        0.000404
 3.065        0.000576
 3.067        0.000584
 3.068        0.000591
 3.070        0.000547
 3.072        0.000571
 3.074        0.000387
 3.076        0.000415
 3.077        0.000343
 3.079        0.000398
 3.081        0.000302
 3.083        0.000279
 3.085        0.000190
 3.087        0.000147
 3.088        0.000185
 3.090        0.000278
 3.092        0.000336
 3.094        0.000396
 3.096        0.000187
 3.098        0.000212
 3.100        0.000280
 3.101        0.000359
 3.103        0.000416
 3.105        0.000553
 3.107        0.000824
 3.109        0.001101
 3.111        0.001228
 3.113        0.001298
 3.114        0.001477
 3.116        0.001741
 3.118        0.001988
 3.120        0.002217
 3.122        0.002553
 3.124        0.003078
 3.126        0.003610
 3.128        0.003968
 3.129        0.004263
 3.131        0.004708
 3.133        0.005426
 3.135        0.006397
 3.137        0.007535
 3.139        0.008841
 3.141        0.010420
 3.143        0.012250
 3.145        0.014170
 3.147        0.016290
 3.148        0.018850
 3.150        0.022210
 3.152        0.026530
 3.154        0.031590
 3.156        0.037510
 3.158        0.044490
 3.160        0.052640
 3.162        0.062080
 3.164        0.072930
 3.166        0.085920
 3.168        0.100500
 3.170        0.116200
 3.172        0.134300
 3.173        0.153900
 3.175        0.174200
 3.177        0.195600
 3.179        0.217800
 3.181        0.238700
 3.183        0.258400
 3.185        0.278700
 3.187        0.297100
 3.189        0.312300
 3.191        0.326900
 3.193        0.339900
 3.195        0.349700
 3.197        0.357000
 3.199        0.363300
 3.201        0.367100
 3.203        0.367700
 3.205        0.368300
 3.207        0.368800
 3.209        0.367300
 3.211        0.365400
 3.213        0.362500
 3.215        0.359000
 3.217        0.356100
 3.219        0.353900
 3.221        0.351700
 3.223        0.347500
 3.225        0.344300
 3.227        0.343400
 3.229        0.341000
 3.231        0.339300
 3.233        0.338900
 3.235        0.338500
 3.237        0.339500
 3.239        0.340400
 3.241        0.341100
 3.243        0.342400
 3.245        0.344500
 3.247        0.348300
 3.249        0.351100
 3.251        0.353700
 3.253        0.357800
 3.255        0.361600
 3.257        0.365500
 3.259        0.370000
 3.261        0.373800
 3.263        0.377700
 3.265        0.381700
 3.267        0.384900
 3.270        0.388700
 3.272        0.393300
 3.274        0.396100
 3.276        0.399200
 3.278        0.402300
 3.280        0.403500
 3.282        0.405900
