# Old IRAC 4 (8.0 um) spectral response file.

# Extracted from:
# http://irsa.ipac.caltech.edu/data/SPITZER/docs/irac/calibrationfiles/spectralresponse/irac_tr4_2004-08-09.dat

# wavel (um)  response
 5.618        0.000183
 5.624        0.000116
 5.630        0.000113
 5.636        0.000111
 5.643        0.000111
 5.649        0.000124
 5.655        0.000131
 5.661        0.000091
 5.667        0.000101
 5.673        0.000175
 5.680        0.000178
 5.686        0.000064
 5.692        0.000109
 5.698        0.000163
 5.705        0.000110
 5.711        0.000098
 5.717        0.000069
 5.723        0.000156
 5.730        0.000180
 5.736        0.000177
 5.742        0.000187
 5.749        0.000119
 5.755        0.000139
 5.762        0.000091
 5.768        0.000177
 5.774        0.000058
 5.781        0.000114
 5.787        0.000134
 5.794        0.000335
 5.800        0.000119
 5.807        0.000117
 5.813        0.000206
 5.820        0.000173
 5.826        0.000135
 5.833        0.000131
 5.839        0.000079
 5.846        0.000125
 5.853        0.000363
 5.859        0.000431
 5.866        0.000324
 5.873        0.000222
 5.879        0.000139
 5.886        0.000091
 5.893        0.000217
 5.899        0.000057
 5.906        0.000137
 5.913        0.000012
 5.919        0.000285
 5.926        0.000363
 5.933        0.000279
 5.940        0.000283
 5.947        0.000270
 5.953        0.000280
 5.960        0.000276
 5.967        0.000218
 5.974        0.000041
 5.981        0.000137
 5.988        0.000044
 5.995        0.000318
 6.002        0.000146
 6.009        0.000197
 6.016        0.000205
 6.023        0.000224
 6.030        0.000463
 6.037        0.000418
 6.044        0.000248
 6.051        0.000088
 6.058        0.000196
 6.065        0.000364
 6.072        0.000037
 6.079        0.000245
 6.086        0.000271
 6.093        0.000394
 6.101        0.000301
 6.108        0.000443
 6.115        0.000328
 6.122        0.000255
 6.129        0.000214
 6.137        0.000184
 6.144        0.000317
 6.151        0.000176
 6.159        0.000205
 6.166        0.000284
 6.173        0.000215
 6.181        0.000146
 6.188        0.000148
 6.195        0.000245
 6.203        0.000277
 6.210        0.000321
 6.218        0.000225
 6.225        0.000141
 6.233        0.000129
 6.240        0.000252
 6.248        0.000258
 6.255        0.000327
 6.263        0.000509
 6.270        0.000324
 6.278        0.000372
 6.285        0.000653
 6.293        0.000541
 6.301        0.000429
 6.308        0.000824
