# MIPS imaging filter bandpasses           21 March 2000
# Extracted from (on date 26 March 2014):
# http://irsa.ipac.caltech.edu/data/SPITZER/docs/files/spitzer/MIPSfiltsumm.txt

# 24 microns                70 microns NB               160 microns
# lambda    response        lambda      response        lambda      response
  18.005    0.000237        49.95998    -0.00029        100.0851    0.000447
  18.068    0.000231        50.21104     6.6E-05        100.2105    0.000474
  18.131    0.000173        50.46463    0.000866        100.3363    0.000367
  18.194    1.17E-05         50.7208    0.001816        100.4623    0.000407
  18.258    0.000229        50.97958    0.002936        100.5887    0.000472
  18.323    0.000228        51.24101    0.004346        100.7154    0.000494
  18.388    0.000237        51.50514    0.006087        100.8424    0.000539
  18.453    0.000241          51.772     0.00817        100.9697    0.000589
  18.519    0.000245        52.04165    0.010677        101.0974    0.000553
  18.586    0.000573        52.31412     0.01409        101.2253    0.000548
  18.652    0.000595        52.58946    0.018454        101.3536     0.00068
  18.720    0.000401        52.86771    0.023109        101.4822      0.0007
  18.788    0.000135        53.14892    0.027443        101.6112    0.000596
  18.856    0.000275        53.43314    0.032523        101.7405    0.000557
  18.925    0.000277        53.72041    0.040173        101.8701    0.000641
  18.994    0.000185        54.01079    0.049711             102    0.000724
  19.064     0.00019        54.30433    0.060504        102.1303    0.000677
  19.134    0.000644        54.60108    0.073617        102.2609    0.000715
  19.205    0.000764        54.90108    0.090147        102.3918    0.000766
  19.277    0.000557         55.2044    0.109523        102.5231    0.000665
  19.348    0.000657        55.51109     0.12962        102.6547    0.000725
  19.421    0.000736        55.82121    0.145772        102.7866    0.000715
  19.494    0.001573        56.13481    0.153541        102.9189    0.000719
  19.567    0.002129        56.45196    0.158599        103.0516    0.000799
  19.642    0.003627        56.77271    0.170037        103.1845    0.000749
  19.716    0.004662        57.09713    0.189803        103.3178    0.000752
  19.792     0.00671        57.42527    0.214929        103.4515    0.000789
  19.867    0.008835        57.75721    0.241451        103.5855    0.000822
  19.944    0.012914        58.09301    0.263499        103.7199    0.000846
  20.021      0.0145        58.43273    0.279945        103.8546    0.000819
  20.098    0.019532        58.77645    0.294817        103.9896    0.000786
  20.177    0.024468        59.12424    0.312668         104.125    0.000797
  20.255    0.031953        59.47617    0.336648        104.2608      0.0009
  20.335    0.050973        59.83232    0.369982        104.3969    0.000966
  20.415    0.076447        60.19275    0.412077        104.5334    0.000952
  20.496    0.120929        60.55756    0.454126        104.6702    0.000808
  20.577    0.177656        60.92681    0.491189        104.8074    0.000738
  20.659    0.252554         61.3006    0.526436        104.9449    0.000819
  20.742    0.377777        61.67899    0.559559        105.0828    0.000927
  20.825    0.528659        62.06209     0.59515        105.2211    0.000932
  20.909    0.735924        62.44998    0.641587        105.3597    0.000831
  20.993    0.813463        62.84275    0.694072        105.4987    0.000792
  21.079    0.857335        63.24049     0.73797        105.6381    0.000796
  21.165    0.882477        63.64329     0.77468        105.7778    0.000819
  21.252    0.907091        64.05126    0.808052        105.9179     0.00087
  21.339    0.932828         64.4645    0.827862        106.0584    0.000904
  21.427    0.957009         64.8831    0.838341        106.1992    0.000924
  21.516    0.973634        65.30717    0.848857        106.3404    0.000889
  21.606    0.984957        65.73682    0.860528         106.482    0.000901
  21.696    0.991663        66.17217    0.869998         106.624    0.000943
  21.787    0.997749        66.61331    0.883175        106.7664    0.000881
  21.879           1        67.06038    0.903375        106.9091    0.000796
  21.972    0.998522        67.51349    0.923421        107.0522    0.000866
  22.065    0.988564        67.97277    0.945281        107.1957    0.000943
  22.160    0.970058        68.43834    0.970016        107.3396    0.000932
  22.255    0.935205        68.91032    0.984766        107.4839    0.001009
  22.351    0.926258        69.38887    0.989037        107.6286    0.000936
  22.448    0.899796        69.87411    0.995237        107.7736    0.000803
  22.545    0.880798        70.36618           1         107.919    0.000997
  22.644    0.865925        70.86523    0.998268        108.0649    0.001114
  22.743    0.856114        71.37141    0.999989        108.2111    0.001061
  22.843    0.857699        71.88487    1.000645        108.3577    0.001021
  22.944    0.856779        72.40578    0.992201        108.5048    0.000981
  23.046    0.850509        72.93429    0.982083        108.6522    0.000917
  23.149     0.83452        73.47057    0.972578           108.8    0.000933
  23.253    0.815473        74.01479    0.958518        108.9482    0.000937
  23.358    0.795473        74.56714    0.938603        109.0969    0.000876
  23.463    0.775875         75.1278    0.917937        109.2459    0.000864
  23.570    0.752764        75.69695    0.883038        109.3954    0.000883
  23.678    0.746808        76.27479    0.832029        109.5452    0.001011
  23.786    0.777653        76.86152    0.781721        109.6955    0.001149
  23.896    0.798943        77.45734    0.729882        109.8462    0.001216
  24.006    0.839877        78.06248    0.670221        109.9973    0.001242
  24.118    0.876265        78.67714    0.611989        110.1488    0.001255
  24.231    0.911819        79.30157    0.558421        110.3007    0.001211
  24.345    0.929431        79.93598    0.505731        110.4531    0.001216
  24.459    0.924876        80.58062    0.456761        110.6058    0.001288
  24.575    0.917978        81.23575    0.416541         110.759    0.001282
  24.692    0.897806        81.90162    0.379062        110.9126    0.001384
  24.810    0.879948        82.57849    0.340729        111.0667    0.001455
  24.930    0.859096        83.26664    0.307558        111.2212    0.001513
  25.050    0.833534        83.96636    0.279367        111.3761    0.001442
  25.172    0.803216        84.67794    0.250857        111.5314    0.001455
  25.295     0.77089        85.40169    0.223651        111.6872    0.001539
  25.419    0.736609        86.13791    0.200818        111.8434    0.001477
  25.544    0.695704        86.88693    0.178981             112    0.001562
  25.670    0.649479         87.6491    0.159608        112.1571    0.001587
  25.798    0.602661        88.42475    0.144221        112.3146    0.001518
  25.927    0.558191        89.21426    0.130385        112.4726    0.001472
  26.057    0.519174        90.01799    0.117319         112.631     0.00151
  26.189    0.486209        90.83634    0.107147        112.7899    0.001489
  26.322    0.455974         91.6697    0.098924        112.9492    0.001518
  26.456    0.428693        92.51849    0.089555        113.1089    0.001668
  26.592    0.406171        93.38315    0.081557        113.2691    0.001809
  26.729    0.381986        94.26413    0.075779        113.4298    0.001797
  26.867    0.354378        95.16188     0.06901        113.5909    0.001851
  27.007    0.326682         96.0769    0.061375        113.7525    0.001818
  27.149    0.296838        97.00968    0.056092        113.9145    0.002091
  27.292    0.261178        97.96076    0.051865        114.0771    0.002203
  27.436    0.225878        98.93067    0.046722          114.24    0.002179
  27.582    0.195445        99.91997     0.04214        114.4035    0.002222
  27.729    0.170226        100.9293    0.038231        114.5674    0.002193
  27.878    0.148445        101.9592    0.034554        114.7317    0.002368
  28.029    0.130555        103.0103    0.033021        114.8966    0.002635
  28.181    0.117945        104.0833     0.03299        115.0619    0.002708
  28.335    0.107676        105.1789    0.032422        115.2277    0.002766
  28.491    0.097827        106.2978    0.030687         115.394    0.003203
  28.649    0.088869        107.4408    0.030265        115.5607     0.00352
  28.808    0.080512        108.6087    0.030992        115.7279    0.003654
  28.969    0.072124        109.8022     0.03027        115.8957    0.003983
  29.131    0.060997        111.0222     0.02935        116.0639    0.004197
  29.296    0.051086                                    116.2326    0.004252
  29.462    0.042525                                    116.4018    0.004276
  29.631    0.035384                                    116.5714    0.004526
  29.801    0.029764                                    116.7416    0.004801
  29.973    0.025596                                    116.9123    0.005002
  30.148    0.021807                                    117.0835    0.005536
  30.324     0.01919                                    117.2552    0.005423
  30.502    0.016606                                    117.4273    0.005623
  30.683    0.013779                                       117.6    0.005942
  30.865    0.011002                                    117.7732    0.006242
  31.050    0.008476                                    117.9469    0.006348
  31.237    0.006381                                    118.1211    0.006335
  31.427    0.004758                                    118.2959    0.006441
  31.618    0.003471                                    118.4711    0.006615
  31.812    0.002394                                    118.6469     0.00724
  32.009    0.001482                                    118.8232    0.007551
  32.207    0.000727                                         119    0.008008
                                                        119.1774    0.008284
                                                        119.3552     0.00864
                                                        119.5337    0.008983
                                                        119.7126    0.009191
                                                        119.8921    0.009407
                                                        120.0721    0.009608
                                                        120.2527    0.009991
                                                        120.4338    0.010152
                                                        120.6154    0.010587
                                                        120.7976    0.011319
                                                        120.9804    0.011818
                                                        121.1637    0.012091
                                                        121.3475    0.012364
                                                        121.5319    0.012936
                                                        121.7169    0.013422
                                                        121.9025    0.014121
                                                        122.0886    0.014813
                                                        122.2752    0.015229
                                                        122.4625    0.016504
                                                        122.6503    0.017405
                                                        122.8387    0.017946
                                                        123.0277    0.018605
                                                        123.2173    0.019464
                                                        123.4074    0.020663
                                                        123.5982    0.021828
                                                        123.7895    0.022674
                                                        123.9814    0.023727
                                                        124.1739    0.025979
                                                         124.367    0.027942
                                                        124.5608    0.029283
                                                        124.7551    0.030681
                                                          124.95    0.032541
                                                        125.1456    0.034293
                                                        125.3417    0.036261
                                                        125.5385    0.038157
                                                        125.7359    0.040349
                                                        125.9339    0.043315
                                                        126.1325    0.046326
                                                        126.3318    0.049115
                                                        126.5317    0.051696
                                                        126.7322    0.054633
                                                        126.9334    0.057837
                                                        127.1352    0.060863
                                                        127.3376    0.063607
                                                        127.5407     0.06696
                                                        127.7444    0.071232
                                                        127.9488    0.076605
                                                        128.1539    0.080961
                                                        128.3596    0.085566
                                                        128.5659    0.089646
                                                         128.773    0.094342
                                                        128.9807    0.099703
                                                         129.189    0.104491
                                                        129.3981    0.109402
                                                        129.6078    0.114945
                                                        129.8182    0.120442
                                                        130.0293    0.127514
                                                        130.2411    0.134596
                                                        130.4535    0.138864
                                                        130.6667    0.146123
                                                        130.8805    0.150331
                                                        131.0951    0.157503
                                                        131.3104    0.162007
                                                        131.5263    0.170009
                                                         131.743     0.17437
                                                        131.9604    0.182098
                                                        132.1785    0.187804
                                                        132.3974    0.195749
                                                        132.6169    0.200513
                                                        132.8372    0.208706
                                                        133.0583    0.213323
                                                          133.28    0.222323
                                                        133.5025    0.226949
                                                        133.7258    0.231259
                                                        133.9498    0.239267
                                                        134.1745    0.241975
                                                           134.4    0.249969
                                                        134.6263    0.259455
                                                        134.8533    0.268523
                                                        135.0811    0.277311
                                                        135.3097    0.285225
                                                         135.539    0.293649
                                                        135.7691    0.302112
                                                             136    0.310823
                                                        136.2317    0.318801
                                                        136.4642    0.322865
                                                        136.6975    0.334176
                                                        136.9315     0.34868
                                                        137.1664    0.356199
                                                        137.4021    0.370831
                                                        137.6386    0.385731
                                                        137.8759    0.400423
                                                         138.114    0.414583
                                                         138.353    0.429878
                                                        138.5927       0.445
                                                        138.8334    0.457952
                                                        139.0748    0.465973
                                                        139.3171    0.480237
                                                        139.5602    0.495482
                                                        139.8042    0.509854
                                                        140.0491    0.532226
                                                        140.2948    0.547751
                                                        140.5413    0.562369
                                                        140.7888    0.584999
                                                        141.0371    0.608022
                                                        141.2862     0.62929
                                                        141.5363    0.645116
                                                        141.7873     0.65841
                                                        142.0391    0.671591
                                                        142.2918    0.675774
                                                        142.5455    0.688479
                                                           142.8    0.700292
                                                        143.0555    0.702498
                                                        143.3119    0.715888
                                                        143.5691     0.72826
